"","V1"
"822","中西哲學家的生命觀"
"823","日文(一)"
"824","法學英文（一）"
"825","關稅法"
"826","英美侵權行為法"
"827","理財規劃與策略"
"828","西洋弦樂器演奏賞析"
"829","金融機構管理"
"830","投資銀行管理"
"831","生活化學應用"
"832","職業安全衛生概論"
"833","中文經典閱讀"
"834","高層思考訓練"
"835","數位音樂名師專題"
"836","輔導原理與實務"
"837","資賦優異教育概論"
"838","幼兒體能與律動"
"839","聽覺口語法理論"
"840","科技在特殊教育之應用"
"841","運動與健康"
"842","兒童戲劇"
"843","繪本與英語教學"
"844","專業英語課程設計"
"845","英語教學概論"
"846","時事英語"
"847","桃學趣"
"848","桃學趣探索"
"849","基礎錄音技術"
"850","音樂基礎訓練"
"851","逐步口譯一"
"852","專業筆譯"
"853","英國文學(一)"
"854","明日之星企業領袖營"
"855","高等微積分(三)"
"856","弦的宇宙樂章"
"857","美食的真相"
"858","科學統計"
"859","科學日文(一)"
"860","專題研究(C)"
"861","有機分析"
"862","專題研究(E)"
"863","危機處理"
"864","學校輔導方案設計評估"
"865","個案評估與診斷"
"866","輔導實務(一)"
"867","品格與領導"
"868","兒童偏差行為"
"869","情緒與語言：理論應用"
"870","健康心理學"
"871","運動經絡按摩"
"872","字詞分析的心理學應用"
"873","臨床心理學概論"
"874","心理會談技巧"
"875","戶外探索設計與實施"
"876","變態心理學"
"877","現代精神醫學與心理學"
"878","食品安全評估"
"879","哲學與人生"
"880","生技產業實務"
"881","現代小說欣賞"
"882","人生管理講座"
"883","聖經中的人際觀"
"884","壓力管理"
"885","水土保持學"
"886","施工學"
"887","古典電影配樂賞析"
"888","工程實習"
"889","工程英文"
"890","橋梁工程與設計"
"891","聖經生命美學"
"892","認識新聞"
"893","電路板智慧製造講座一"
"894","電路板智慧製造講座二"
"895","世界文學與藝術歌曲"
"896","劇讀人聲"
"897","工業工程專題(一)"
"898","人力資源管理"
"899","全球原住民族文化"
"900","方法時間衡量"
"901","超級英雄的物理學"
"902","生物力學"
"903","醫工英文(一)"
"904","馬華文學"
"905","微處理機"
"906","醫學影像處理"
"907","健康照護科技專題(一)"
"908","固態物理(一)"
"909","智慧電子應用設計導論"
"910","Android應用程式設計"
"911","影像處理"
"912",".NET物件導向程式設計"
"913","基因與疾病"
"914","國防軍訓-國防科技"
"915","建築工藝實作研習"
"916","閩南傳統建築"
"917","建材與構造"
"918","中國美術史一"
"919","地理設計(一)"
"920","網路行銷"
"921","知識管理"
"922","R程式設計"
"923","大陸台商升級轉型實務"
"924","團隊管理"
"925","食品科學概論"
"926","ISO 9000國際標準認證"
"927","市場研究"
"928","廣告學"
"929","生涯規劃專題"
"930","全方位領導"
"931","中國大陸貿易實務"
"932","法學緒論"
"933","稅務會計(一)"
"934","法語(一)"
"935","Hadoop實務演練"
"936","神經網路程式設計實務"
"937","資訊安全管理"
"938","性別平等與現代社會"
"939","法律服務(一)"
"940","職涯列車講座"
"941","少年事件處理法"
"942","東南亞社會與文化"
"943","企業倫理"
"944","英語簡報技巧"
"945","德語(二)"
"946","教育哲學"
"947","學前特教教材教法"
"948","聽覺口語法理論與實務"
"949","特殊教育行政與法規"
"950","教育社會學"
"951","證券金融商品法規合約"
